Country name,Number of deaths,Number of cases,Region
,,,
United States,"916,314","76,768,501",North America
India,"498,987","41,795,478",Asia
Brazil,"629,078","25,813,685",South America
France,"131,588","19,872,989",Europe
United Kingdom,"157,409","17,515,199",Europe
Russia,"332,690","12,128,796",Europe
Turkey,"87,831","11,833,165",Asia
Italy,"147,320","11,235,745",Europe
Germany,"118,883","10,303,100",Europe
Spain,"93,857","10,125,348",Europe
Argentina,"121,834","8,472,848",South America
Iran,"132,563","6,446,404",Asia
Colombia,"134,781","5,916,825",South America
Mexico,"306,920","4,985,689",North America
Poland,"105,753","4,981,321",Europe
Netherlands,"21,303","4,605,248",Europe
Indonesia,"144,373","4,387,286",Asia
Ukraine,"100,599","4,130,277",Europe
South Africa,"95,463","3,612,809",Africa
Philippines,"54,097","3,577,298",Asia
Peru,"206,220","3,286,151",South America
Belgium,"29,083","3,184,201",Europe
Czech Republic (Czechia),"37,281","3,100,462",Europe
Canada,"34,194","3,079,640",North America
Israel,"8,927","2,990,328",Asia
Malaysia,"31,992","2,882,060",Asia
Japan (+Diamond Princess),"18,884","2,811,762",Asia
Portugal,"20,024","2,745,383",Europe
Australia,"3,905","2,620,063",Australia/Oceania
Thailand,"22,210","2,456,551",Asia
Vietnam,"37,777","2,295,494",Asia
Romania,"60,242","2,292,345",Europe
Switzerland,"12,860","2,284,996",Europe
Iraq,"24,430","2,226,776",Asia
Sweden,"15,991","2,223,115",Europe
Chile,"39,742","2,221,276",South America
Greece,"23,721","1,984,544",Europe
Austria,"14,143","1,920,882",Europe
Bangladesh,"28,461","1,824,180",Asia
Denmark,"3,790","1,762,628",Europe
Serbia,"13,748","1,714,863",Europe
Hungary,"41,548","1,582,517",Europe
Pakistan,"29,330","1,436,413",Asia
Jordan,"13,248","1,260,983",Asia
Kazakhstan,"13,260","1,246,103",Asia
Georgia,"15,060","1,226,444",Asia
Ireland,"6,228","1,193,156",Europe
Morocco,"15,464","1,138,847",Africa
Cuba,"8,415","1,047,860",North America
Slovakia,"17,877","1,043,008",Europe
Bulgaria,"33,492","972,260",Europe
Nepal,"11,764","959,775",Asia
Croatia,"13,947","954,555",Europe
Lebanon,"9,638","939,282",Asia
Tunisia,"26,362","917,814",Africa
South Korea,"6,787","884,310",Asia
Bolivia,"21,011","859,530",South America
United Arab Emirates,"2,251","849,305",Asia
Norway,"1,467","827,585",Europe
Belarus,"6,084","748,505",Europe
Slovenia,"5,891","745,980",Europe
Ecuador,"34,572","739,297",South America
Costa Rica,"7,605","708,560",North America
Panama,"7,752","705,880",North America
Lithuania,"7,917","701,601",Europe
Guatemala,"16,421","698,385",North America
Saudi Arabia,"8,943","695,217",Asia
Uruguay,"6,540","690,496",South America
Azerbaijan,"8,779","670,313",Asia
Sri Lanka,"15,492","613,478",Asia
Paraguay,"17,426","594,430",South America
Kuwait,"2,501","558,745",Asia
Dominican Republic,"4,313","557,919",North America
Myanmar,"19,310","536,536",Asia
State of Palestine,"4,859","507,565",Asia
Finland,"2,012","501,152",Europe
Venezuela,"5,454","487,775",South America
Ethiopia,"7,346","465,792",Africa
Moldova,"10,691","449,840",Europe
Mongolia,"2,115","446,076",Asia
Libya,"6,035","438,303",Africa
Egypt,"22,735","430,480",Africa
Latvia,"4,911","412,402",Europe
Honduras,"10,504","391,874",North America
Bahrain,"1,409","390,602",Asia
Armenia,"8,060","374,878",Asia
Singapore,859,"362,176",Asia
